County,Total_Population_2011,Male_Population_2011,Female_Population_2011,Age_Band_0_14_2011,Age_Band_15_24_2011,Age_Band_25_44_2011,Age_Band_45_64_2011,Age_Band_65plus_2011,Total_Single_2011,Total_Married_2011,Total_Separated_2011,Total_Divorced_2011,Total_Widowed_2011,Perc_Male_Population_2011,Perc_Female_Population_2011,Perc_Age_Band_0_14_2011,Perc_Age_Band_15_24_2011,Perc_Age_Band_25_44_2011,Perc_Age_Band_45_64_2011,Perc_Age_Band_65plus_2011,Perc_Single_2011,Perc_Married_2011,Perc_Separated_2011,Perc_Divorced_2011,Perc_Widowed_2011
Carlow,54612,27431,27181,12149,7006,16902,12344,6211,29158,20587,1515,1094,2092,50.37,49.63,21.15,13.23,31.17,22.56,11.89,53.71,37.44,2.88,2.07,3.9
Cavan,73183,37013,36170,17232,8689,21630,16766,8866,38419,28699,1569,1279,2927,50.61,49.39,22.75,11.84,29.49,23.22,12.7,52.59,39.27,2.23,1.82,4.09
Clare,117196,58298,58898,26081,13768,34055,28773,14519,60565,46241,2871,2252,4844,49.86,50.14,21.45,11.4,28.79,25.07,13.28,51.66,39.3,2.61,2.07,4.37
Cork_City,119230,58812,60418,17497,20007,36507,27269,17950,68957,37944,3375,2476,6204,49.66,50.34,13.71,17.21,31.87,22.27,14.94,59.12,30.68,2.91,2.18,5.11
Cork_County,399802,198658,201144,92006,45495,125300,92571,44430,208634,159194,8520,7510,14497,49.8,50.2,22.12,11.19,31.33,23.57,11.79,52.24,39.7,2.25,2.03,3.78
Donegal,161137,80523,80614,36949,19767,45401,37549,21471,84655,62322,4013,2949,6502,50.02,49.98,22.1,12.18,27.69,23.85,14.17,52.46,38.92,2.54,1.87,4.2
Dublin_City,527612,257303,270309,80029,76620,196090,108383,66490,320199,156840,14713,11042,23366,48.78,51.22,14.62,14.12,38.75,20.17,12.34,61.75,28.99,2.88,2.17,4.21
Dun_Laoghaire_Rathdown,206261,98567,107694,37535,28933,60907,49014,29872,108775,79745,4738,3861,8464,47.67,52.33,17.56,13.53,30.9,23.36,14.65,53.2,38.39,2.36,1.94,4.1
Fingal,273991,134488,139503,66407,32619,100312,54792,19861,150728,103902,6757,5578,6278,48.98,51.02,23.51,11.68,37.48,19.88,7.45,55.22,37.85,2.54,2.12,2.28
Galway_City,75529,36514,39015,12493,13326,28491,14160,7059,47349,22474,1668,1623,2193,48.26,51.74,15.56,18.75,38.39,18.08,9.23,64.29,28.52,2.23,2.2,2.77
Galway_County,175124,88244,86880,39693,19941,51314,42186,21990,90405,70549,3627,2731,7003,50.42,49.58,21.94,11.3,29.43,24.25,13.07,51.97,40.07,2.21,1.67,4.08
Kerry,145502,72629,72873,29352,16311,41600,37251,20988,74214,57914,3377,2866,6548,50.04,49.96,19.45,11.15,28.32,26.1,14.99,51.05,39.87,2.44,2.07,4.56
Kildare,210312,104658,105654,51568,26264,70456,45368,16656,113951,80897,5230,3677,5982,49.73,50.27,23.67,12.37,34.2,21.47,8.29,54.33,38.28,2.62,1.84,2.93
Kilkenny,95419,47788,47631,21200,11262,28475,22792,11690,49959,37503,2284,1639,3725,50.18,49.82,21.76,11.61,30.11,23.98,12.54,52.51,39.3,2.49,1.78,3.93
Laois,80559,40587,39972,19913,9374,26036,17136,8100,43667,30382,2106,1425,2792,49.96,50.04,24.39,11.52,32.19,21.5,10.4,54.15,37.72,2.7,1.88,3.54
Leitrim,31798,16144,15654,6879,3254,8901,8058,4706,16073,12639,761,605,1560,50.77,49.23,21.22,10.13,28.16,25.54,14.95,50.83,39.84,2.47,1.97,4.89
Limerick,57106,27947,29159,10231,9057,17395,12902,7521,32904,18117,1934,1335,2626,48.88,51.12,17.28,16.97,30.4,22.16,13.19,58.9,30.6,3.52,2.43,4.56
Longford,39000,19649,19351,9045,4528,11390,9154,4883,20552,14718,1138,766,1639,50.46,49.54,22.78,11.69,29.3,23.61,12.62,53.14,37.51,3.09,2.11,4.15
Louth,122897,60763,62134,28662,15443,38282,27033,13477,66604,45198,3612,2539,4604,49.58,50.42,22.17,12.5,31.49,22.25,11.59,54.17,36.56,3.11,2.19,3.97
Mayo,130638,65420,65218,27313,15038,35092,33656,19539,66623,51684,2978,2382,6373,50.13,49.87,20.28,11.43,26.73,26.01,15.56,51.16,39.5,2.35,1.89,5.09
Meath,184135,91910,92225,46466,20972,60923,39452,16322,96878,73601,4653,3173,5284,49.93,50.07,24.44,11.39,33.12,21.72,9.33,52.69,39.86,2.64,1.81,3.01
Monaghan,60483,30441,30042,13490,7518,17882,14133,7460,31460,23727,1382,1149,2534,50.3,49.7,21.78,12.44,29.76,23.49,12.52,52.35,38.96,2.43,2.06,4.2
Offaly,76687,38430,38257,17955,9423,22716,17684,8909,40221,29754,2058,1340,3128,50.16,49.84,22.8,12.27,29.72,23.26,11.94,52.44,38.77,2.77,1.87,4.15
Roscommon,64065,32353,31712,13580,7103,17779,16207,9396,32210,25778,1502,1181,3030,50.47,49.53,20.54,10.97,27.37,25.79,15.33,50.34,40.34,2.49,1.99,4.84
Sligo,65393,32435,32958,13109,8693,18207,16341,9043,34918,24607,1570,1212,2834,49.83,50.17,19.52,13.31,28.12,25.02,14.02,53.76,37.52,2.44,1.92,4.35
South_Dublin,265205,129544,135661,61281,34779,87591,58501,23053,147720,97338,6951,4976,7501,48.78,51.22,22.34,12.84,33.3,22.16,9.36,55.44,37.01,2.67,1.92,2.96
Tipperary,158754,79584,79170,34386,18675,45698,38799,21196,82703,60709,4420,3057,7396,50.12,49.88,20.86,11.75,28.81,24.7,13.88,52.17,37.98,2.95,2.07,4.83
Waterford,46732,22921,23811,9256,6382,14640,10393,6061,26022,15881,1519,1072,2139,49.71,50.29,17.86,14.64,31.94,21.87,13.69,56.92,32.28,3.5,2.51,4.79
Westmeath,86164,42783,43381,19440,11105,26348,19475,9796,46248,32322,2364,1659,3296,49.73,50.27,21.65,13.09,30.71,22.65,11.9,54.05,37.15,2.84,2.01,3.95
Wexford,145320,71909,73411,33064,16825,42705,34359,18367,75774,55723,4305,3132,5935,49.5,50.5,22.13,11.53,29.45,23.77,13.12,52.25,38.2,3.13,2.28,4.15
Wicklow,136640,67542,69098,31172,16514,41609,32344,15001,71882,52596,3991,2955,4781,49.43,50.57,22.31,11.97,30.87,23.59,11.26,52.82,38.34,3.03,2.22,3.59
